Time[s], Channel 0
 Time [s],Channel 0-Analog
0.000000000000000, 3449
0.100000000000000, 3450
0.200000000000000, 3451
0.300000000000000, 3444
0.400000000000000, 3454
0.500000000000000, 3451
0.600000000000000, 3455
0.700000000000000, 3444
0.800000000000000, 337
0.900000000000000, 3437
1.000000000000000, 3322
1.100000000000000, 3429
1.200000000000000, 3443
1.300000000000000, 3437
1.400000000000000, 3436
1.500000000000000, 3314
1.600000000000000, 3444
1.700000000000000, 3440
1.800000000000000, 337
1.900000000000000, 329
2.000000000000000, 3322
2.100000000000000, 3444
2.200000000000000, 3435
2.300000000000000, 3434
2.400000000000000, 3331
2.500000000000000, 3435
2.600000000000000, 3445
2.700000000000000, 3443
2.800000000000000, 3440
2.900000000000000, 341
3.000000000000000, 3447
3.100000000000000, 3443
3.200000000000000, 3439
3.300000000000000, 341
3.400000000000000, 342
3.500000000000000, 3441
3.600000000000000, 3440
3.700000000000000, 3437
3.800000000000000, 3322
3.900000000000000, 3432
4.000000000000000, 3438
4.100000000000000, 338
4.200000000000000, 339
4.300000000000000, 343
4.400000000000000, 340
4.500000000000000, 3443
4.600000000000000, 3435
4.700000000000000, 3330
4.800000000000000, 3341
4.900000000000000, 3443
5.000000000000000, 347
5.100000000000000, 339
5.200000000000000, 342
5.300000000000000, 3434
5.400000000000000, 337
5.500000000000000, 339
5.600000000000000, 336
5.700000000000000, 338
5.800000000000000, 338
5.900000000000000, 339
6.000000000000000, 338
6.100000000000000, 337
6.200000000000000, 340
6.300000000000000, 340
6.400000000000000, 341
6.500000000000000, 338
6.600000000000000, 340
6.700000000000000, 340
6.800000000000000, 338
6.900000000000000, 340
7.000000000000000, 337
7.100000000000000, 340
7.200000000000000, 340
7.300000000000000, 339
7.400000000000000, 340
7.500000000000000, 340
7.600000000000000, 343
7.700000000000000, 339
7.800000000000000, 339
7.900000000000000, 339
8.000000000000000, 340
8.100000000000000, 337
8.199999999999999, 338
8.300000000000001, 339
8.400000000000000, 340
8.500000000000000, 339
8.600000000000000, 339
8.699999999999999, 339
8.800000000000001, 339
8.900000000000000, 340
9.000000000000000, 341
9.100000000000000, 338
9.199999999999999, 332
9.300000000000001, 333
9.400000000000000, 340
9.500000000000000, 339
9.600000000000000, 340
9.699999999999999, 338
9.800000000000001, 337
9.900000000000000, 341
10.000000000000000, 338
10.100000000000000, 338
10.199999999999999, 339
10.300000000000001, 337
10.400000000000000, 339
10.500000000000000, 337
10.600000000000000, 338
10.699999999999999, 337
10.800000000000001, 338
10.900000000000000, 340
11.000000000000000, 337
11.100000000000000, 338
11.199999999999999, 339
11.300000000000001, 340
11.400000000000000, 340
11.500000000000000, 338
11.600000000000000, 338
11.699999999999999, 337
11.800000000000001, 339
11.900000000000000, 339
12.000000000000000, 337
12.100000000000000, 336
12.199999999999999, 337
12.300000000000001, 338
12.400000000000000, 338
12.500000000000000, 341
12.600000000000000, 338
12.699999999999999, 338
12.800000000000001, 340
12.900000000000000, 338
13.000000000000000, 340
13.100000000000000, 339
13.199999999999999, 340
13.300000000000001, 340
13.400000000000000, 339
13.500000000000000, 339
13.600000000000000, 339
13.699999999999999, 338
13.800000000000001, 337
13.900000000000000, 337
14.000000000000000, 340
14.100000000000000, 338
14.199999999999999, 340
14.300000000000001, 339
14.400000000000000, 340
14.500000000000000, 339
14.600000000000000, 338
14.699999999999999, 340
14.800000000000001, 339
14.900000000000000, 337
15.000000000000000, 337
15.100000000000000, 339
15.199999999999999, 339
15.300000000000001, 338
15.400000000000000, 340
15.500000000000000, 341
15.600000000000000, 324
15.699999999999999, 340
15.800000000000001, 337
15.900000000000000, 340
16.000000000000000, 340
16.100000000000001, 338
16.199999999999999, 338
16.300000000000001, 340
16.399999999999999, 337
16.500000000000000, 340
16.600000000000001, 339
16.699999999999999, 336
16.800000000000001, 3440
16.899999999999999, 3340
17.000000000000000, 3323
17.100000000000001, 3446
17.199999999999999, 3442
17.300000000000001, 3436
17.399999999999999, 328
17.500000000000000, 339
17.600000000000001, 340
17.699999999999999, 3437
17.800000000000001, 3434
17.899999999999999, 3325
18.000000000000000, 339
18.100000000000001, 337
18.199999999999999, 339
18.300000000000001, 340
18.399999999999999, 3321
18.500000000000000, 338
18.600000000000001, 338
18.699999999999999, 340
18.800000000000001, 340
18.899999999999999, 331
19.000000000000000, 337
19.100000000000001, 338
19.199999999999999, 339
19.300000000000001, 342
19.399999999999999, 340
19.500000000000000, 337
19.600000000000001, 336
19.699999999999999, 340
19.800000000000001, 340
19.899999999999999, 339
20.000000000000000, 338
20.100000000000001, 340
20.199999999999999, 339
20.300000000000001, 341
20.399999999999999, 339
20.500000000000000, 337
20.600000000000001, 338
20.699999999999999, 337
20.800000000000001, 338
20.899999999999999, 338
21.000000000000000, 340
21.100000000000001, 341
21.199999999999999, 340
21.300000000000001, 340
21.399999999999999, 339
21.500000000000000, 339
21.600000000000001, 335
21.699999999999999, 339
21.800000000000001, 336
21.899999999999999, 337
22.000000000000000, 340
22.100000000000001, 342
22.199999999999999, 340
22.300000000000001, 338
22.399999999999999, 340
22.500000000000000, 337
22.600000000000001, 333
22.699999999999999, 339
22.800000000000001, 338
22.899999999999999, 338
23.000000000000000, 341
23.100000000000001, 340
23.199999999999999, 340
23.300000000000001, 340
23.399999999999999, 340
23.500000000000000, 337
23.600000000000001, 337
23.699999999999999, 335
23.800000000000001, 338
23.899999999999999, 340
24.000000000000000, 339
24.100000000000001, 337
24.199999999999999, 339
24.300000000000001, 339
24.399999999999999, 339
24.500000000000000, 337
24.600000000000001, 340
24.699999999999999, 337
24.800000000000001, 338
24.899999999999999, 338
25.000000000000000, 338
25.100000000000001, 337
25.199999999999999, 335
25.300000000000001, 338
