[2019-01-14 15:28:46.569711] ,32, Temperature,215
[2019-01-14 15:28:50.376487] ,32, Temperature,215
[2019-01-14 15:28:54.167029] ,33, Temperature,215
[2019-01-14 15:28:57.973153] ,33, Temperature,215
[2019-01-14 15:29:01.765902] ,33, Temperature,215
[2019-01-14 15:29:05.564952] ,33, Temperature,215
[2019-01-14 15:29:09.372221] ,33, Temperature,215
[2019-01-14 15:29:13.162411] ,33, Temperature,215
[2019-01-14 15:29:16.968856] ,33, Temperature,215
[2019-01-14 15:29:20.766653] ,32, Temperature,215
[2019-01-14 15:29:24.569090] ,32, Temperature,215
[2019-01-14 15:29:28.360779] ,32, Temperature,215
[2019-01-14 15:29:32.162165] ,32, Temperature,215
[2019-01-14 15:29:35.961509] ,33, Temperature,215
[2019-01-14 15:29:39.755765] ,33, Temperature,216
[2019-01-14 15:29:43.559531] ,33, Temperature,216
[2019-01-14 15:29:47.360757] ,32, Temperature,216
[2019-01-14 15:29:51.153679] ,32, Temperature,216
[2019-01-14 15:29:54.957773] ,32, Temperature,216
[2019-01-14 15:29:58.757382] ,32, Temperature,215
[2019-01-14 15:30:02.549712] ,32, Temperature,215
[2019-01-14 15:30:06.349330] ,32, Temperature,214
[2019-01-14 15:30:10.150985] ,32, Temperature,213
[2019-01-14 15:30:13.946445] ,32, Temperature,213
[2019-01-14 15:30:17.745773] ,32, Temperature,213
[2019-01-14 15:30:21.549692] ,32, Temperature,213
[2019-01-14 15:30:25.347332] ,32, Temperature,213
[2019-01-14 15:30:29.146654] ,32, Temperature,214
[2019-01-14 15:30:32.941875] ,32, Temperature,213
[2019-01-14 15:30:36.740725] ,32, Temperature,214
[2019-01-14 15:30:40.541074] ,32, Temperature,214
[2019-01-14 15:30:44.338676] ,32, Temperature,214
[2019-01-14 15:30:48.147703] ,32, Temperature,214
[2019-01-14 15:30:51.936401] ,32, Temperature,214
[2019-01-14 15:30:55.737721] ,32, Temperature,214
[2019-01-14 15:30:59.534526] ,32, Temperature,214
[2019-01-14 15:31:03.337601] ,32, Temperature,214
[2019-01-14 15:31:07.140608] ,32, Temperature,214
[2019-01-14 15:31:10.939933] ,32, Temperature,214
[2019-01-14 15:31:14.737451] ,32, Temperature,215
[2019-01-14 15:31:18.533762] ,32, Temperature,215
[2019-01-14 15:31:22.331242] ,31, Temperature,214
[2019-01-14 15:31:26.128205] ,32, Temperature,214
[2019-01-14 15:31:29.923216] ,32, Temperature,214
